segment,svid,sys,n,max,min,p25,p75,median
409MHz 干扰,GPS6,GPS,50,29.25,22.25,25.8125,29.1875,28.25
409MHz 干扰,QZS385,QZS,50,33.0,32.0,32.5,33.0,32.75
409MHz 干扰,QZS386,QZS,100,45.25,40.5,40.5,45.0,42.75
409MHz 干扰,QZS390,QZS,100,40.75,38.0,38.0,40.5,39.375
无干扰 #2,BDS1,BDS,100,48.25,46.25,46.25,48.0,47.125
无干扰 #2,BDS14,BDS,100,39.75,38.25,39.0,39.75,39.25
无干扰 #2,BDS2,BDS,88,40.25,37.25,38.0,39.75,39.5
无干扰 #2,BDS21,BDS,200,46.75,43.75,44.4375,45.5625,44.75
无干扰 #2,BDS22,BDS,112,32.0,26.0,27.0,31.75,28.75
无干扰 #2,BDS3,BDS,100,46.75,43.25,43.5,46.25,44.875
无干扰 #2,BDS34,BDS,200,38.5,32.5,35.4375,37.25,36.0
无干扰 #2,BDS35,BDS,200,47.25,40.5,42.9375,45.9375,44.75
无干扰 #2,BDS4,BDS,100,45.0,43.75,44.25,44.75,44.5
无干扰 #2,BDS6,BDS,100,47.75,45.25,45.5,47.5,46.625
无干扰 #2,BDS7,BDS,50,27.0,25.0,25.25,26.9375,26.0
无干扰 #2,BDS8,BDS,100,45.75,45.25,45.5,45.75,45.5
无干扰 #2,BDS9,BDS,150,40.0,36.0,37.0,39.25,37.5
无干扰 #2,GAL11,GAL,200,47.0,41.0,41.75,43.875,42.25
无干扰 #2,GAL18,GAL,150,43.5,35.25,37.0,43.25,40.25
无干扰 #2,GAL34,GAL,167,38.0,20.0,30.5,37.0,33.0
无干扰 #2,GAL36,GAL,200,39.75,31.75,33.5,35.5625,34.0
无干扰 #2,GAL5,GAL,200,49.0,41.5,42.875,46.9375,45.25
无干扰 #2,GAL6,GAL,200,47.0,42.75,43.25,46.25,45.5
无干扰 #2,GAL9,GAL,200,49.75,42.75,45.4375,47.4375,46.0
无干扰 #2,GLO75,GLO,50,44.75,43.75,44.0,44.5,44.25
无干扰 #2,GLO76,GLO,100,40.0,36.5,37.5,39.75,38.5
无干扰 #2,GLO80,GLO,100,36.25,34.25,34.75,35.5,35.0
无干扰 #2,GLO82,GLO,100,46.25,44.0,44.25,45.75,45.25
无干扰 #2,GLO96,GLO,100,46.5,42.0,42.5,46.5,44.625
无干扰 #2,GLO97,GLO,50,45.75,45.5,45.5,45.75,45.75
无干扰 #2,GPS11,GPS,150,47.5,44.75,44.75,47.25,45.0
无干扰 #2,GPS15,GPS,100,45.75,41.75,42.1875,45.25,43.5
无干扰 #2,GPS20,GPS,150,48.0,43.75,44.0,47.75,46.0
无干扰 #2,GPS29,GPS,100,36.75,32.0,32.5,35.25,33.25
无干扰 #2,GPS5,GPS,100,45.25,41.5,42.0,45.25,43.75
无干扰 #2,QZS385,QZS,150,31.5,27.75,28.8125,31.0,30.5
无干扰 #2,QZS386,QZS,150,46.5,43.0,43.25,46.25,44.25
无干扰 #2,QZS390,QZS,150,47.25,38.0,38.75,47.25,44.25
392MHz 干扰,BDS1,BDS,100,46.0,33.25,35.25,45.5,40.875
392MHz 干扰,BDS14,BDS,100,37.5,28.0,29.25,37.0,33.375
392MHz 干扰,BDS2,BDS,83,37.25,27.5,29.25,35.5,30.0
392MHz 干扰,BDS21,BDS,150,44.5,32.0,32.0,44.25,38.5
392MHz 干扰,BDS3,BDS,94,43.75,35.25,36.25,43.25,36.625
392MHz 干扰,BDS34,BDS,150,35.75,23.75,25.0625,35.0,28.5
392MHz 干扰,BDS35,BDS,150,40.75,35.0,35.25,40.25,36.5
392MHz 干扰,BDS4,BDS,100,42.5,32.75,34.75,41.75,38.625
392MHz 干扰,BDS6,BDS,100,41.25,36.5,37.0,41.0,39.125
392MHz 干扰,BDS8,BDS,100,45.75,33.75,34.0,45.5625,39.875
392MHz 干扰,BDS9,BDS,150,35.5,26.25,27.75,35.0,31.0
392MHz 干扰,GAL11,GAL,142,43.75,34.75,35.3125,43.0,41.75
392MHz 干扰,GAL18,GAL,100,40.5,27.0,30.4375,40.25,36.125
392MHz 干扰,GAL34,GAL,100,34.75,31.0,32.25,34.5,33.25
392MHz 干扰,GAL36,GAL,111,34.5,26.25,27.75,33.5,31.5
392MHz 干扰,GAL5,GAL,150,46.25,40.25,40.5,46.0,45.25
392MHz 干扰,GAL6,GAL,150,47.0,40.5,40.75,46.5,41.0
392MHz 干扰,GAL9,GAL,150,47.0,41.0,41.5,46.75,45.75
392MHz 干扰,GLO75,GLO,50,37.5,32.25,34.0625,37.0,35.875
392MHz 干扰,GLO76,GLO,100,39.5,27.0,31.25,39.0,35.875
392MHz 干扰,GLO80,GLO,100,37.75,24.0,25.5,37.25,31.875
392MHz 干扰,GLO82,GLO,100,46.0,32.5,33.0,46.0,39.875
392MHz 干扰,GLO96,GLO,100,44.25,37.5,38.25,43.5,41.0
392MHz 干扰,GLO97,GLO,50,34.25,34.0,34.0,34.25,34.25
392MHz 干扰,GPS11,GPS,100,45.0,38.5,39.0,44.75,41.875
392MHz 干扰,GPS15,GPS,100,42.5,40.0,40.75,41.75,41.25
392MHz 干扰,GPS20,GPS,100,46.0,37.5,38.0,45.5,41.875
392MHz 干扰,GPS29,GPS,100,35.25,27.75,31.75,35.25,32.875
392MHz 干扰,GPS5,GPS,100,43.25,40.0,40.5,42.5,41.75
392MHz 干扰,QZS385,QZS,100,32.0,27.75,28.5,31.0,29.625
392MHz 干扰,QZS386,QZS,100,43.5,38.0,38.25,43.25,40.625
392MHz 干扰,QZS390,QZS,100,44.75,32.5,32.75,44.75,38.875
无干扰 #3,BDS1,BDS,100,48.0,46.25,46.75,47.25,47.0
无干扰 #3,BDS14,BDS,100,39.0,38.25,38.25,38.75,38.5
无干扰 #3,BDS2,BDS,78,39.5,34.5,38.25,39.0,38.75
无干扰 #3,BDS21,BDS,200,46.0,43.75,44.25,45.75,45.125
无干扰 #3,BDS22,BDS,137,32.0,21.25,25.25,30.0,29.75
无干扰 #3,BDS3,BDS,94,46.75,43.5,44.25,46.25,46.0
无干扰 #3,BDS34,BDS,200,40.0,31.75,35.3125,38.3125,37.0
无干扰 #3,BDS35,BDS,200,45.0,40.75,42.8125,43.75,43.75
无干扰 #3,BDS4,BDS,100,45.75,44.25,44.5,44.75,44.75
无干扰 #3,BDS6,BDS,100,48.0,45.5,45.75,47.75,46.75
无干扰 #3,BDS7,BDS,50,29.25,27.0,27.25,28.75,28.0
无干扰 #3,BDS8,BDS,100,46.0,45.0,45.75,45.75,45.75
无干扰 #3,BDS9,BDS,150,39.0,37.25,37.5,38.5,38.0
无干扰 #3,GAL10,GAL,79,37.0,24.75,33.0,36.25,35.75
无干扰 #3,GAL11,GAL,200,46.5,40.75,41.75,43.75,42.5
无干扰 #3,GAL18,GAL,150,46.25,28.75,35.3125,44.75,41.0
无干扰 #3,GAL34,GAL,200,37.25,30.25,32.8125,36.0,33.875
无干扰 #3,GAL36,GAL,191,40.0,33.25,34.0,35.25,34.25
无干扰 #3,GAL5,GAL,200,49.25,41.5,44.75,47.5,45.875
无干扰 #3,GAL6,GAL,200,47.0,42.75,45.25,46.5,46.5
无干扰 #3,GAL9,GAL,200,50.0,45.5,46.1875,48.125,47.375
无干扰 #3,GLO75,GLO,50,43.0,41.25,41.75,43.0,42.5
无干扰 #3,GLO76,GLO,100,41.5,34.75,38.5,40.8125,39.75
无干扰 #3,GLO80,GLO,100,38.0,32.0,36.0,37.25,36.75
无干扰 #3,GLO82,GLO,100,45.5,41.75,42.5,45.25,44.0
无干扰 #3,GLO96,GLO,100,46.25,43.75,44.0,46.25,45.25
无干扰 #3,GLO97,GLO,50,46.0,45.5,45.75,46.0,46.0
无干扰 #3,GPS11,GPS,150,47.75,44.0,45.0,47.5,45.5
无干扰 #3,GPS15,GPS,100,45.25,40.5,40.5,44.75,42.75
无干扰 #3,GPS20,GPS,100,46.0,43.0,43.25,45.75,44.625
无干扰 #3,GPS29,GPS,100,36.0,34.5,35.75,35.75,35.75
无干扰 #3,GPS5,GPS,100,46.0,41.25,41.5,45.5,44.0
无干扰 #3,QZS385,QZS,149,35.25,22.0,26.5,34.0,33.25
无干扰 #3,QZS386,QZS,150,47.25,43.25,43.5,47.0,43.75
无干扰 #3,QZS390,QZS,150,47.75,38.25,38.5,47.5,44.0
4G/5G 干扰,BDS1,BDS,100,47.75,46.25,46.75,47.25,47.0
4G/5G 干扰,BDS14,BDS,100,41.5,39.0,39.25,41.0,40.0
4G/5G 干扰,BDS2,BDS,100,39.75,37.5,38.25,38.75,38.5
4G/5G 干扰,BDS21,BDS,200,46.0,43.5,44.625,45.5,45.125
4G/5G 干扰,BDS22,BDS,100,29.75,21.25,23.75,26.25,25.25
4G/5G 干扰,BDS3,BDS,100,46.75,44.75,45.0,46.25,45.625
4G/5G 干扰,BDS34,BDS,192,39.25,33.5,34.75,38.25,35.25
4G/5G 干扰,BDS35,BDS,200,44.75,43.25,43.5,44.25,44.0
4G/5G 干扰,BDS4,BDS,100,45.75,44.0,44.5,45.5,44.875
4G/5G 干扰,BDS6,BDS,100,47.5,45.75,45.75,47.25,46.625
4G/5G 干扰,BDS7,BDS,50,24.75,23.25,23.75,24.25,24.25
4G/5G 干扰,BDS8,BDS,100,46.25,45.75,45.75,46.25,46.0
4G/5G 干扰,BDS9,BDS,150,39.0,37.5,37.5,38.5,38.25
4G/5G 干扰,GAL10,GAL,150,39.0,32.25,33.0,38.0,37.25
4G/5G 干扰,GAL11,GAL,200,46.0,41.0,42.25,44.0,43.0
4G/5G 干扰,GAL18,GAL,150,45.5,38.75,40.0,45.25,40.5
